,lat,lon,DXYP__
0,-89.5,-180.0,270079400.0
1,-89.5,-177.5,270079400.0
2,-89.5,-175.0,270079400.0
3,-89.5,-172.5,270079400.0
4,-89.5,-170.0,270079400.0
5,-89.5,-167.5,270079400.0
6,-89.5,-165.0,270079400.0
7,-89.5,-162.5,270079400.0
8,-89.5,-160.0,270079400.0
9,-89.5,-157.5,270079400.0
10,-89.5,-155.0,270079400.0
11,-89.5,-152.5,270079400.0
12,-89.5,-150.0,270079400.0
13,-89.5,-147.5,270079400.0
14,-89.5,-145.0,270079400.0
15,-89.5,-142.5,270079400.0
16,-89.5,-140.0,270079400.0
17,-89.5,-137.5,270079400.0
18,-89.5,-135.0,270079400.0
19,-89.5,-132.5,270079400.0
20,-89.5,-130.0,270079400.0
21,-89.5,-127.5,270079400.0
22,-89.5,-125.0,270079400.0
23,-89.5,-122.5,270079400.0
24,-89.5,-120.0,270079400.0
25,-89.5,-117.5,270079400.0
26,-89.5,-115.0,270079400.0
27,-89.5,-112.5,270079400.0
28,-89.5,-110.0,270079400.0
29,-89.5,-107.5,270079400.0
30,-89.5,-105.0,270079400.0
31,-89.5,-102.5,270079400.0
32,-89.5,-100.0,270079400.0
33,-89.5,-97.5,270079400.0
34,-89.5,-95.0,270079400.0
35,-89.5,-92.5,270079400.0
36,-89.5,-90.0,270079400.0
37,-89.5,-87.5,270079400.0
38,-89.5,-85.0,270079400.0
39,-89.5,-82.5,270079400.0
40,-89.5,-80.0,270079400.0
41,-89.5,-77.5,270079400.0
42,-89.5,-75.0,270079400.0
43,-89.5,-72.5,270079400.0
44,-89.5,-70.0,270079400.0
45,-89.5,-67.5,270079400.0
46,-89.5,-65.0,270079400.0
47,-89.5,-62.5,270079400.0
48,-89.5,-60.0,270079400.0
49,-89.5,-57.5,270079400.0
50,-89.5,-55.0,270079400.0
51,-89.5,-52.5,270079400.0
52,-89.5,-50.0,270079400.0
53,-89.5,-47.5,270079400.0
54,-89.5,-45.0,270079400.0
55,-89.5,-42.5,270079400.0
56,-89.5,-40.0,270079400.0
57,-89.5,-37.5,270079400.0
58,-89.5,-35.0,270079400.0
59,-89.5,-32.5,270079400.0
60,-89.5,-30.0,270079400.0
61,-89.5,-27.5,270079400.0
62,-89.5,-25.0,270079400.0
63,-89.5,-22.5,270079400.0
64,-89.5,-20.0,270079400.0
65,-89.5,-17.5,270079400.0
66,-89.5,-15.0,270079400.0
67,-89.5,-12.5,270079400.0
68,-89.5,-10.0,270079400.0
69,-89.5,-7.5,270079400.0
70,-89.5,-5.0,270079400.0
71,-89.5,-2.5,270079400.0
72,-89.5,0.0,270079400.0
73,-89.5,2.5,270079400.0
74,-89.5,5.0,270079400.0
75,-89.5,7.5,270079400.0
76,-89.5,10.0,270079400.0
77,-89.5,12.5,270079400.0
78,-89.5,15.0,270079400.0
79,-89.5,17.5,270079400.0
80,-89.5,20.0,270079400.0
81,-89.5,22.5,270079400.0
82,-89.5,25.0,270079400.0
83,-89.5,27.5,270079400.0
84,-89.5,30.0,270079400.0
85,-89.5,32.5,270079400.0
86,-89.5,35.0,270079400.0
87,-89.5,37.5,270079400.0
88,-89.5,40.0,270079400.0
89,-89.5,42.5,270079400.0
